step,class 1,class 2,class 3,class 4,class 5
1,58606.46,59304.48,64589.89,69865.34,
2,58606.46,63233.85,68514.18,73792.11,
3,61882.53,67160.61,72433.52,77716.47,
4,65796.91,71084.92,76367.83,81645.66,
5,69733.63,75011.76,80284.74,85572.50,
6,73653.09,78936.06,84213.99,89486.91,
7,77483.25,82857.85,88145.77,93413.66,
8,81223.41,86784.71,92067.57,97350.38,
9,85008.56,90711.52,95994.35,101259.79,
10,88793.73,94645.75,99911.24,105201.54,
11,92578.88,98565.10,103840.55,109120.91,
12,92578.88,98565.1,103840.55,109120.91,
13,92578.88,98565.1,103840.55,109120.91,
14,92578.88,98565.1,103840.55,109120.91,
15,93386.68,99372.9,104648.35,109928.71,
16,93386.68,99372.9,104648.35,109928.71,
17,93386.68,99372.9,104648.35,109928.71,
18,93386.68,99372.9,104648.35,109928.71,
19,94185.18,100171.4,105446.85,110727.21,
20,94185.18,100171.4,105446.85,110727.21,
21,94185.18,100171.4,105446.85,110727.21,
22,94985.58,100971.8,106247.25,111527.61,
23,94985.58,100971.8,106247.25,111527.61,
24,94985.58,100971.8,106247.25,111527.61,
25,95787.88,101774.1,107049.55,112329.91,
26,95787.88,101774.1,107049.55,112329.91,
27,95787.88,101774.1,107049.55,112329.91,
28,96582.68,102568.9,107844.35,113124.71,
29,96582.68,102568.9,107844.35,113124.71,
30,96582.68,102568.9,107844.35,113124.71,
31,97386.78,103373,108648.45,113928.81,
32,97386.78,103373,108648.45,113928.81,
33,97386.78,103373,108648.45,113928.81,
34,97386.78,103373,108648.45,113928.81,
35,97386.78,103373,108648.45,113928.81,
36,97386.78,103373,108648.45,113928.81,
